 ,['(2xm)'],"('Double Masters', '2020-08-07')",1x
 ,['(c20)'],"('Ikoria Commander', '2020-04-24')",1x
 ,['(zen)'],"('Zendikar', '2009-10-02')",1x
 ,['(dka)'],"('Dark Ascension', '2012-02-03')",1x
 ,['(gtc)'],"('Gatecrash', '2013-02-01')",1x
 ,['(lrw)'],"('Lorwyn', '2007-10-12')",1x
 ,['(gk2)'],"('Ravnica Kit Series 2', '2019-02-15')",1x
 ,['(hou)'],"('Hour of Devastation', '2017-07-14')",1x
 ,['(gk1)'],"('Guild Kit Series 1', '2018-09-29')",1x
 ,['(cns)'],"('Conspiracy', '2014-06-06')",1x
 ,['(eld)'],"('Thorne of Eldraine', '2019-10-04')",1x
 ,['(eld)'],"('Thorne of Eldraine', '2019-10-04')",1x
 ,['(grn)'],"('Guilds of Ravnica', '2018-10-05')",1x
 ,['(ema)'],"('Eternal Masters', '2016-06-10')",1x
 ,['(fut)'],"('Future Sight', '2007-05-24')",1x
 ,['(cmr)'],"('Commander Legends', '2020-11-20')",1x
 ,['(rtr)'],"('Return to Ravnica', '2012-10-05')",1x
 ,['(dtk)'],"('Dragons of Tarkir', '2015-03-27')",1x
 ,['(grn)'],"('Guilds of Ravnica', '2018-10-05')",1x
 ,['(war)'],"('War of the Spark', '2019-05-03')",1x
 ,['(kld)'],"('Kaladesh', '2016-09-30')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(c19)'],"('Commander 2019', '2019-08-23')",1x
 ,['(ths)'],"('Theros', '2013-09-27')",1x
 ,['(ema)'],"('Eternal Masters', '2016-06-10')",1x
 ,['(mma)'],"('Modern Masters', '2013-06-07')",1x
 ,['(eld)'],"('Thorne of Eldraine', '2019-10-04')",1x
 ,['(m13)'],"('Magic 2013', '2012-07-13')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(war)'],"('War of the Spark', '2019-05-03')",1x
 ,['(hou)'],"('Hour of Devastation', '2017-07-14')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(xln)'],"('Ixalan', '2017-09-29')",1x
 ,['(rtr)'],"('Return to Ravnica', '2012-10-05')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(rna)'],"('Ravnica Allegiance', '2019-01-25')",1x
 ,['(ala)'],"('Shards of Alara', '2008-10-03')",1x
 ,['(mor)'],"('Morningtide', '2008-02-01')",1x
 ,['(dka)'],"('Dark Ascension', '2012-02-03')",1x
 ,['(dka)'],"('Dark Ascension', '2012-02-03')",1x
 ,['(m13)'],"('Magic 2013', '2012-07-13')",1x
 ,['(unh)'],"('Unhinged', '2004-19-20')",3x
 ,['(ema)'],"('Eternal Masters', '2016-06-10')",1x
 ,['(gk1)'],"('Guild Kit Series 1', '2018-09-29')",1x
 ,['(wwk)'],"('Worldwake', '2010-02-05')",1x
 ,['(ktk)'],"('Khans of Tarkir', '2014-09-26')",1x
 ,['(m20)'],"('Core Set 2020', '2019-07-21')",1x
 ,['(zen)'],"('Zendikar', '2009-10-02')",1x
 ,['(kld)'],"('Kaladesh', '2016-09-30')",1x
 ,['(frf)'],"('Fate Reforged', '2015-01-23')",1x
 ,['(unh)'],"('Unhinged', '2004-19-20')",1x
 ,['(eld)'],"('Thorne of Eldraine', '2019-10-04')",1x
 ,['(ema)'],"('Eternal Masters', '2016-06-10')",1x
 ,['(isd)'],"('Innistrad', '2011-09-30')",1x
 ,['(con)'],"('Conflux', '2009-02-06')",1x
 ,['(unh)'],"('Unhinged', '2004-19-20')",1x
 ,['(leb)'],"('Beta', '1993-08-05')",1x
