1x,Adaptive Automaton,Magic 2012,2011-07-15,False,False
1x,Ancient Den,Mirrodin,2003-10-03,False,False
1x,Ancient Stirrings,Rise of the Eldrazi,2010-04-23,False,False
1x,Arcbound Reclaimer,Darksteel,2004-02-06,False,False
1x,Arctic Treeline,Kaldheim,2021-01-29,False,False
1x,"Armix, Filigree Thrasher",Commander Legends,2020-11-20,True,False
1x,Awakened Amalgam,Rivals of Ixalan,2018-01-19,False,False
1x,Birthing Boughs,Modern Horizons,2019-06-14,False,False
1x,Blade Splicer,New Phyrexia,2011-05-13,False,False
1x,Blightsteel Colossus,Double Masters,2020-08-07,False,False
1x,Brass Herald,Commander Legends,2020-11-20,False,False
1x,Burnished Hart,Commander Legends,2020-11-20,True,False
1x,Chromatic Sphere,Mirrodin,2003-10-03,False,False
1x,Colossus of Akros,Theros,2013-09-27,False,False
1x,Command Tower,Commander Legends,2020-11-20,False,False
1x,Commander's Sphere,Commander Legends,2020-11-20,False,False
1x,Conjurer's Closet,Avacyn Restored,2012-05-04,False,False
1x,Conversion Chamber,New Phyrexia,2011-05-13,False,False
1x,Darksteel Citadel,Darksteel,2004-02-06,False,False
1x,Darksteel Sentinel,Scars of Mirrodin,2010-10-01,False,False
1x,Dispeller's Capsule,Shards of Alara,2008-10-03,False,False
1x,Doubling Season,Double Masters,2020-08-07,False,False
1x,Executioner's Capsule,Shards of Alara,2008-10-03,False,False
1x,Expedition Map,Zendikar,2009-10-02,False,False
1x,Forsaken Monument,Zendikar Rising,2020-09-18,False,False
1x,Fortuitous Find,Kaladesh,2016-09-30,False,False
1x,Geode Golem,Commander 2018,2018-08-10,False,False
1x,Gingerbrute,Throne of Eldraine,2019-10-04,False,False
1x,Glimmervoid,Double Masters,2020-08-07,False,False
1x,"Glissa, the Traitor",Mirrodin Besieged,2011-02-04,False,False
1x,Golden Guardian // Gold-Forge Garrison,Rivals of Ixalan,2018-01-19,False,False
1x,Golem Artisan,Scars of Mirrodin,2010-10-01,False,False
1x,Golem Foundry,Scars of Mirrodin,2010-10-01,False,False
1x,Heroic Intervention,Core Set 2021,2020-07-01,False,False
1x,Howling Golem,Dominaria,2018-04-27,False,False
1x,Icehide Golem,Modern Horizons,2019-06-14,False,False
1x,"Ich-Tekik, Salvage Splicer",Commander Legends,2020-11-20,True,False
1x,Ingenuity Engine,Commander Legends,2020-11-20,False,False
1x,Inspiring Call,Dragons of Tarkir,2015-03-27,False,False
1x,Iron Bully,War of the Spark,2019-05-03,True,False
1x,Karn's Bastion,War of the Spark,2019-05-03,False,False
1x,Lodestone Golem,Worldwake,2010-02-05,False,False
1x,Maelstrom Colossus,Commander Legends,2020-11-20,False,False
1x,Mage-Ring Responder,Magic Origins,2015-07-17,False,False
1x,Malakir Rebirth // Malakir Mire,Zendikar Rising,2020-09-18,True,False
1x,Marsh Flats,Zendikar,2009-10-02,False,False
1x,Master Splicer,New Phyrexia,2011-05-13,False,False
1x,Maul Splicer,New Phyrexia,2011-05-13,False,False
1x,Metallic Mimic,Aether Revolt,2017-01-20,False,False
1x,Metalspinner's Puzzleknot,Kaladesh,2016-09-30,False,False
1x,Meteor Golem,Commander Legends,2020-11-20,False,False
1x,Mycosynth Golem,Fifth Dawn,2004-06-04,False,False
1x,Mycosynth Wellspring,New Phyrexia,2011-05-13,False,False
1x,Opal Palace,Commander Legends,2020-11-20,False,False
1x,Overgrown Tomb,Guilds of Ravnica,2018-10-05,False,False
1x,Path of Ancestry,Commander Legends,2020-11-20,False,False
1x,Phyrexia's Core,New Phyrexia,2011-05-13,False,False
1x,Phyrexian Triniform,Commander Legends,2020-11-20,False,False
1x,Precursor Golem,Scars of Mirrodin,2010-10-01,False,False
1x,"Ravos, Soultender",Commander Legends,2020-11-20,True,False
1x,"Rebbec, Architect of Ascension",Commander Legends,2020-11-20,True,False
1x,Relic Golem,Zendikar Rising,2020-09-18,False,False
1x,Salvage Titan,Shards of Alara,2008-10-03,False,False
1x,Scarecrone,Eventide,2008-07-25,False,False
1x,Sensor Splicer,New Phyrexia,2011-05-13,False,False
1x,Sisay's Ring,Commander Legends,2020-11-20,False,False
1x,Skeleton Shard,Mirrodin,2003-10-03,False,False
5x,Snow-Covered Forest,Kaldheim,2021-01-29,False,False
6x,Snow-Covered Plains,Kaldheim,2021-01-29,False,False
3x,Snow-Covered Swamp,Kaldheim,2021-01-29,False,False
1x,Snowfield Sinkhole,Kaldheim,2021-01-29,False,False
1x,Sol Ring,Commander Legends,2020-11-20,False,False
1x,Solemn Simulacrum,Core Set 2021,2020-07-01,False,False
1x,Spare Supplies,Zendikar Rising,2020-09-18,False,False
1x,Splicer's Skill,Modern Horizons,2019-06-14,False,False
1x,Sword of Truth and Justice,Modern Horizons,2019-06-14,False,False
1x,Tamiyo's Journal,Shadows over Innistrad,2016-04-08,False,False
1x,Tectonic Edge,Worldwake,2010-02-05,False,False
1x,Temple of the False God,Commander 2019,2019-08-23,False,False
1x,Tree of Tales,Mirrodin,2003-10-03,False,False
1x,Unbreakable Formation,Ravnica Allegiance,2019-01-25,False,False
1x,Unclaimed Territory,Ixalan,2017-09-29,False,False
1x,Universal Automaton,Modern Horizons,2019-06-14,False,False
1x,Unwinding Clock,Commander 2018,2018-08-10,False,False
1x,Urza's Mine,Double Masters,2020-08-07,False,False
1x,Urza's Power Plant,Double Masters,2020-08-07,False,False
1x,Urza's Tower,Double Masters,2020-08-07,False,False
1x,Vault of Whispers,Mirrodin,2003-10-03,False,False
1x,Vital Splicer,New Phyrexia,2011-05-13,False,False
1x,Welding Jar,Mirrodin,2003-10-03,False,False
1x,Woodland Chasm,Kaldheim,2021-01-29,False,False
