 ,['(2xm)'],"('Double Masters', '2020-08-07')",1x
 ,['(c18)'],"('Commander 2018', '2018-08-10')",1x
 ,['(rtr)'],"('Return to Ravnica', '2012-10-05')",1x
 ,['(c20)'],"('Ikoria Commander', '2020-04-24')",1x
 ,['(gk2)'],"('Ravnica Kit Series 2', '2019-02-15')",1x
 ,['(roe)'],"('Rise of the Eldrazi', '2010-04-23')",1x
 ,['(rav)'],"('Ravnica: City of Guilds', '2005-10-07')",1x
 ,['(wwk)'],"('Worldwake', '2010-02-05')",1x
 ,['(cst)'],"('Coldsnap Theme Deck', '2006-07-21')",1x
 ,['(eld)'],"('Thorne of Eldraine', '2019-10-04')",1x
 ,['(m21)'],"('Core Set 2021', '2020-07-01')",1x
 ,['(ema)'],"('Eternal Masters', '2016-06-10')",1x
 ,['(c18)'],"('Commander 2018', '2018-08-10')",1x
 ,['(rtr)'],"('Return to Ravnica', '2012-10-05')",1x
 ,['(gtc)'],"('Gatecrash', '2013-02-01')",1x
 ,['(gk1)'],"('Guild Kit Series 1', '2018-09-29')",1x
 ,['(grn)'],"('Guilds of Ravnica', '2018-10-05')",1x
 ,['(war)'],"('War of the Spark', '2019-05-03')",1x
 ,['(znr)'],"('Zendikar Rising', '2020-09-18')",1x
 ,['(emn)'],"('Eldritch Moon', '2016-07-22')",1x
 ,['(arb)'],"('Alara Reborn', '2009-04-10')",1x
 ,['(ema)'],"('Eternal Masters', '2016-06-10')",1x
 ,['(c18)'],"('Commander 2018', '2018-08-10')",1x
 ,['(c18)'],"('Commander 2018', '2018-08-10')",1x
 ,['(iko)'],"('Ikoria: Lair of Behemoths', '2020-04-24')",1x
 ,['(eld)'],"('Thorne of Eldraine', '2019-10-04')",1x
 ,['(akh)'],"('Amonkhet', '2017-04-28')",1x
 ,['(ons)'],"('Onslaught', '2002-10-07')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(c17)'],"('Commander 2017', '2017-08-25')",1x
 ,['(ths)'],"('Theros', '2013-09-27')",1x
 ,['(xln)'],"('Ixalan', '2017-09-29')",1x
 ,['(rna)'],"('Ravnica Allegiance', '2019-01-25')",1x
 ,['(wwk)'],"('Worldwake', '2010-02-05')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(rna)'],"('Ravnica Allegiance', '2019-01-25')",1x
 ,['(mmq)'],"('Mercadian Masques', '1999-10-04')",1x
 ,['(ala)'],"('Shards of Alara', '2008-10-03')",1x
 ,['(pm15)'],"('Magic 2015 Promos', '2014-07-18')",1x
 ,['(akh)'],"('Amonkhet', '2017-04-28')",1x
 ,['(unh)'],"('Unhinged', '2004-19-20')",3x
 ,['(wwk)'],"('Worldwake', '2010-02-05')",1x
 ,['(thb)'],"('Theros Beyond Death', '2020-01-24')",1x
 ,['(c19)'],"('Commander 2019', '2019-08-23')",1x
 ,['(m15)'],"('Magic 2015', '2014-07-18')",1x
 ,['(con)'],"('Conflux', '2009-02-06')",1x
 ,['(ima)'],"('Iconic Masters', '2017-11-17')",1x
 ,['(zen)'],"('Zendikar', '2009-10-02')",1x
 ,['(bbd)'],"('Battlebond', '2018-06-08')",1x
 ,['(eld)'],"('Thorne of Eldraine', '2019-10-04')",1x
 ,['(mir)'],"('Mirage', '1996-10-07')",1x
 ,['(m19)'],"('Core Set 2019', '2018-07-13')",1x
 ,['(con)'],"('Conflux', '2009-02-06')",1x
 ,['(m21)'],"('Core Set 2021', '2020-07-01')",1x
 ,['(exo)'],"('Exodus', '1998-06-15')",1x
 ,['(unh)'],"('Unhinged', '2004-19-20')",1x
 ,['(ons)'],"('Onslaught', '2002-10-07')",1x
 ,['(m10)'],"('Magic 2010', '2009-07-17')",1x
 ,['(cst)'],"('Coldsnap Theme Deck', '2006-07-21')",1x
 ,['(m11)'],"('Magic 2011', '2010-07-16')",1x
 ,['(mh1)'],"('Modern Horizons', '2019-06-14')",1x
 ,['(ths)'],"('Theros', '2013-09-27')",1x
 ,['(j19)'],"('Judge Promos 2019', '2019-01-01')",1x
 ,['(tsp)'],"('Time Spiral', '2006-10-06')",1x
 ,['(m20)'],"('Core Set 2020', '2019-07-21')",1x
 ,['(mps)'],"('Masterpiece: Kaladesh', '2016-09-29')",1x
