1x,Academy Ruins,Double Masters,2020-08-07,False,False
1x,Alrund's Epiphany,Kaldheim,2021-01-29,False,False
1x,"Aminatou, the Fateshifter",Commander 2018,2018-08-10,True,False
1x,Angel of Serenity,Return to Ravnica,2012-10-05,False,False
1x,Angelic Arbiter,Commander Anthology,2017-06-09,False,False
1x,Arcane Signet,Ikoria Commander,2020-04-24,False,False
1x,Azorius Signet,Ravnica Kit Series 2,2019-02-15,False,False
1x,Baneful Omen,Rise of the Eldrazi,2010-04-23,False,False
1x,Blatant Thievery,Explorers of Ixalan,2017-11-24,False,False
1x,Bojuka Bog,Worldwake,2010-02-05,False,False
1x,Brainstorm,Coldsnap Theme Deck,2006-07-21,False,False
1x,Brightclimb Pathway // Grimclimb Pathway,Zendikar Rising,2020-09-18,False,False
1x,Castle Vantress,Throne of Eldraine,2019-10-04,False,False
1x,Chromatic Orrery,Core Set 2021,2020-07-01,False,False
1x,Chrome Mox,Eternal Masters,2016-06-10,False,False
1x,Clearwater Pathway // Murkwater Pathway,Zendikar Rising,2020-09-18,False,False
1x,Command Tower,Commander 2018,2018-08-10,False,False
1x,Cyclonic Rift,Double Masters,2020-08-07,False,False
1x,Diluvian Primordial,Gatecrash,2013-02-01,False,False
1x,Dimir Signet,Guild Kit Series 1,2018-09-29,False,False
1x,Doom Whisperer,Guilds of Ravnica,2018-10-05,False,False
1x,Dovin's Veto,War of the Spark,2019-05-03,False,False
1x,"Emeria's Call // Emeria, Shattered Skyclave",Zendikar Rising,2020-09-18,False,False
1x,"Emrakul, the Promised End",Eldritch Moon,2016-07-22,False,False
1x,Enlightened Tutor,Eternal Masters,2016-06-10,True,False
1x,Extinction Event,Ikoria: Lair of Behemoths,2020-04-24,False,False
1x,Fabled Passage,Throne of Eldraine,2019-10-04,False,False
1x,Fetid Pools,Amonkhet,2017-04-28,False,False
1x,Flooded Strand,Onslaught,2002-10-07,False,False
1x,Force of Negation,Modern Horizons,2019-06-14,False,False
1x,Fractured Identity,Commander 2017,2017-08-25,False,False
1x,Gift of Immortality,Theros,2013-09-27,False,False
1x,Glacial Fortress,Ixalan,2017-09-29,False,False
1x,Godless Shrine,Ravnica Allegiance,2019-01-25,False,False
1x,Halimar Depths,Worldwake,2010-02-05,False,False
1x,Hall of Heliod's Generosity,Modern Horizons,2019-06-14,False,False
1x,Hallowed Fountain,Ravnica Allegiance,2019-01-25,False,False
1x,Haunted Crossroads,Mercadian Masques,1999-10-04,False,False
1x,Hengegate Pathway // Mistgate Pathway,Kaldheim,2021-01-29,False,False
1x,Hindering Light,Shards of Alara,2008-10-03,False,False
